"district_id","city_id","city_name","city_slug","district_name","district_slug","sort_order"
"1","1","Adana","adana","Aladağ","alada","10"
"2","1","Adana","adana","Ceyhan","ceyhan","20"
"3","1","Adana","adana","Feke","feke","30"
"4","1","Adana","adana","Karaisalı","karaisal","40"
"5","1","Adana","adana","Karataş","karata","50"
"6","1","Adana","adana","Kozan","kozan","60"
"7","1","Adana","adana","İmamoğlu","mamo-lu","70"
"8","1","Adana","adana","Pozantı","pozant","80"
"9","1","Adana","adana","Saimbeyli","saimbeyli","90"
"10","1","Adana","adana","Sarıçam","sar-am","100"
"11","1","Adana","adana","Seyhan","seyhan","110"
"12","1","Adana","adana","Tufanbeyli","tufanbeyli","120"
"13","1","Adana","adana","Çukurova","ukurova","130"
"14","1","Adana","adana","Yüreğir","y-re-ir","140"
"15","1","Adana","adana","Yumurtalık","yumurtal-k","150"
"16","2","Adıyaman","ad-yaman","Besni","besni","10"
"17","2","Adıyaman","ad-yaman","Çelikhan","elikhan","20"
"18","2","Adıyaman","ad-yaman","Gerger","gerger","30"
"19","2","Adıyaman","ad-yaman","Gölbaşı","g-lba","40"
"20","2","Adıyaman","ad-yaman","Kahta","kahta","50"
"21","2","Adıyaman","ad-yaman","Merkez","merkez","60"
"22","2","Adıyaman","ad-yaman","Samsat","samsat","70"
"23","2","Adıyaman","ad-yaman","Sincik","sincik","80"
"24","2","Adıyaman","ad-yaman","Tut","tut","90"
"25","3","Afyonkarahisar","afyonkarahisar","Çay","ay","10"
"26","3","Afyonkarahisar","afyonkarahisar","Başmakçı","ba-mak","20"
"27","3","Afyonkarahisar","afyonkarahisar","Bayat","bayat","30"
"28","3","Afyonkarahisar","afyonkarahisar","Bolvadin","bolvadin","40"
"29","3","Afyonkarahisar","afyonkarahisar","Dazkırı","dazk-r","50"
"30","3","Afyonkarahisar","afyonkarahisar","Dinar","dinar","60"
"31","3","Afyonkarahisar","afyonkarahisar","Emirdağ","emirda","70"
"32","3","Afyonkarahisar","afyonkarahisar","Evciler","evciler","80"
"33","3","Afyonkarahisar","afyonkarahisar","Hocalar","hocalar","90"
"34","3","Afyonkarahisar","afyonkarahisar","İhsaniye","hsaniye","100"
"35","3","Afyonkarahisar","afyonkarahisar","Kızılören","k-z-l-ren","110"
"36","3","Afyonkarahisar","afyonkarahisar","Merkez","merkez","120"
"37","3","Afyonkarahisar","afyonkarahisar","Çobanlar","obanlar","130"
"38","3","Afyonkarahisar","afyonkarahisar","Sandıklı","sand-kl","140"
"39","3","Afyonkarahisar","afyonkarahisar","İscehisar","scehisar","150"
"40","3","Afyonkarahisar","afyonkarahisar","Sinanpaşa","sinanpa-a","160"
"41","3","Afyonkarahisar","afyonkarahisar","Sultandağı","sultanda","170"
"42","3","Afyonkarahisar","afyonkarahisar","Şuhut","uhut","180"
"43","4","Aksaray","aksaray","Ağaçören","a-a-ren","10"
"44","4","Aksaray","aksaray","Eskil","eskil","20"
"45","4","Aksaray","aksaray","Gülağaç","g-la-a","30"
"46","4","Aksaray","aksaray","Güzelyurt","g-zelyurt","40"
"47","4","Aksaray","aksaray","Merkez","merkez","50"
"48","4","Aksaray","aksaray","Ortaköy","ortak-y","60"
"49","4","Aksaray","aksaray","Sarıyahşi","sar-yah-i","70"
"50","4","Aksaray","aksaray","Sultanhanı","sultanhan","80"
"51","5","Amasya","amasya","Gümüşhacıköy","g-m-hac-k-y","10"
