"neighborhood_id","district_id","city_id","city_name","city_slug","district_name","district_slug","neighborhood_name","neighborhood_slug","sort_order"
"1","1","1","Adana","adana","Aladağ","alada","Akpınar","akp-nar","10"
"2","1","1","Adana","adana","Aladağ","alada","Akören","ak-ren","20"
"3","1","1","Adana","adana","Aladağ","alada","Başpınar","ba-p-nar","30"
"4","1","1","Adana","adana","Aladağ","alada","Boztahta","boztahta","40"
"5","1","1","Adana","adana","Aladağ","alada","Büyüksofulu","b-y-ksofulu","50"
"6","1","1","Adana","adana","Aladağ","alada","Ceritler","ceritler","60"
"7","1","1","Adana","adana","Aladağ","alada","Dailer","dailer","70"
"8","1","1","Adana","adana","Aladağ","alada","Darılık","dar-l-k","80"
"9","1","1","Adana","adana","Aladağ","alada","Dölekli","d-lekli","90"
"10","1","1","Adana","adana","Aladağ","alada","Ebrişim","ebri-im","100"
"11","1","1","Adana","adana","Aladağ","alada","Eğner","e-ner","110"
"12","1","1","Adana","adana","Aladağ","alada","Gerdibi","gerdibi","120"
"13","1","1","Adana","adana","Aladağ","alada","Gireğiyeniköy","gire-iyenik-y","130"
"14","1","1","Adana","adana","Aladağ","alada","Gökçeköy","g-k-ek-y","140"
"15","1","1","Adana","adana","Aladağ","alada","Kabasakal","kabasakal","150"
"16","1","1","Adana","adana","Aladağ","alada","Karahan","karahan","160"
"17","1","1","Adana","adana","Aladağ","alada","Kıcak","k-cak","170"
"18","1","1","Adana","adana","Aladağ","alada","Kökez","k-kez","180"
"19","1","1","Adana","adana","Aladağ","alada","Kışlak","k-lak","190"
"20","1","1","Adana","adana","Aladağ","alada","Küp","k-p","200"
"21","1","1","Adana","adana","Aladağ","alada","Köprücük","k-pr-c-k","210"
"22","1","1","Adana","adana","Aladağ","alada","Kızıldam","k-z-ldam","220"
"23","1","1","Adana","adana","Aladağ","alada","Madenli","madenli","230"
"24","1","1","Adana","adana","Aladağ","alada","Mansurlu","mansurlu","240"
"25","1","1","Adana","adana","Aladağ","alada","Mazılık","maz-l-k","250"
"26","1","1","Adana","adana","Aladağ","alada","Posyağbasan","posya-basan","260"
"27","1","1","Adana","adana","Aladağ","alada","Sinanpaşa","sinanpa-a","270"
"28","1","1","Adana","adana","Aladağ","alada","Topallı","topall","280"
"29","1","1","Adana","adana","Aladağ","alada","Uzunkuyu","uzunkuyu","290"
"30","1","1","Adana","adana","Aladağ","alada","Yetimli","yetimli","300"
"31","1","1","Adana","adana","Aladağ","alada","Yüksekören","y-ksek-ren","310"
"32","2","1","Adana","adana","Ceyhan","ceyhan","Ağaçlı","a-a-l","10"
"33","2","1","Adana","adana","Ceyhan","ceyhan","Ağaçpınar","a-a-p-nar","20"
"34","2","1","Adana","adana","Ceyhan","ceyhan","Adapınar","adap-nar","30"
"35","2","1","Adana","adana","Ceyhan","ceyhan","Adatepe","adatepe","40"
"36","2","1","Adana","adana","Ceyhan","ceyhan","Şahin Özbilen","ahin-zbilen","50"
"37","2","1","Adana","adana","Ceyhan","ceyhan","Çakaldere","akaldere","60"
"38","2","1","Adana","adana","Ceyhan","ceyhan","Akdam","akdam","70"
"39","2","1","Adana","adana","Ceyhan","ceyhan","Altıgözbekirli","alt-g-zbekirli","80"
"40","2","1","Adana","adana","Ceyhan","ceyhan","Altıkara","alt-kara","90"
"41","2","1","Adana","adana","Ceyhan","ceyhan","Altıocak","alt-ocak","100"
"42","2","1","Adana","adana","Ceyhan","ceyhan","Çataklı","atakl","110"
"43","2","1","Adana","adana","Ceyhan","ceyhan","Çatalhüyük","atalh-y-k","120"
"44","2","1","Adana","adana","Ceyhan","ceyhan","Atatürk","atat-rk","130"
"45","2","1","Adana","adana","Ceyhan","ceyhan","Aydemiroğlu","aydemiro-lu","140"
"46","2","1","Adana","adana","Ceyhan","ceyhan","Aydınlar","ayd-nlar","150"
"47","2","1","Adana","adana","Ceyhan","ceyhan","Azizli","azizli","160"
"48","2","1","Adana","adana","Ceyhan","ceyhan","Başören","ba-ren","170"
"49","2","1","Adana","adana","Ceyhan","ceyhan","Belediye Evleri","belediye-evleri","180"
"50","2","1","Adana","adana","Ceyhan","ceyhan","Birkent","birkent","190"
"51","2","1","Adana","adana","Ceyhan","ceyhan","Bota","bota","200"
"52","2","1","Adana","adana","Ceyhan","ceyhan","Burhaniye","burhaniye","210"
"53","2","1","Adana","adana","Ceyhan","ceyhan","Burhanlı","burhanl","220"
"54","2","1","Adana","adana","Ceyhan","ceyhan","Büyükburhaniye","b-y-kburhaniye","230"
"55","2","1","Adana","adana","Ceyhan","ceyhan","Büyükkırım","b-y-kk-r-m","240"
"56","2","1","Adana","adana","Ceyhan","ceyhan","Büyükmangıt","b-y-kmang-t","250"
"57","2","1","Adana","adana","Ceyhan","ceyhan","Camuzağılı","camuza-l","260"
"58","2","1","Adana","adana","Ceyhan","ceyhan","Ceyhanbekirli","ceyhanbekirli","270"
"59","2","1","Adana","adana","Ceyhan","ceyhan","Civantayak","civantayak","280"
"60","2","1","Adana","adana","Ceyhan","ceyhan","Cumhuriyet","cumhuriyet","290"
"61","2","1","Adana","adana","Ceyhan","ceyhan","Dağıstan","da-stan","300"
"62","2","1","Adana","adana","Ceyhan","ceyhan","Değirmendere","de-irmendere","310"
"63","2","1","Adana","adana","Ceyhan","ceyhan","Değirmenli","de-irmenli","320"
"64","2","1","Adana","adana","Ceyhan","ceyhan","Dikilitaş","dikilita","330"
"65","2","1","Adana","adana","Ceyhan","ceyhan","Dokuztekne","dokuztekne","340"
"66","2","1","Adana","adana","Ceyhan","ceyhan","Doruk","doruk","350"
"67","2","1","Adana","adana","Ceyhan","ceyhan","Durhasandede","durhasandede","360"
"68","2","1","Adana","adana","Ceyhan","ceyhan","Dutlupınar","dutlup-nar","370"
"69","2","1","Adana","adana","Ceyhan","ceyhan","Üçdutyeşilova","dutye-ilova","380"
"70","2","1","Adana","adana","Ceyhan","ceyhan","Şehit Hacı Ibrahim","ehit-hac-ibrahim","390"
"71","2","1","Adana","adana","Ceyhan","ceyhan","Ekinyazı","ekinyaz","400"
"72","2","1","Adana","adana","Ceyhan","ceyhan","Elmagölü","elmag-l","410"
"73","2","1","Adana","adana","Ceyhan","ceyhan","Emek","emek","420"
"74","2","1","Adana","adana","Ceyhan","ceyhan","Erenler","erenler","430"
"75","2","1","Adana","adana","Ceyhan","ceyhan","Esentepe","esentepe","440"
"76","2","1","Adana","adana","Ceyhan","ceyhan","Çevretepe","evretepe","450"
"77","2","1","Adana","adana","Ceyhan","ceyhan","Fatih Sultan Mehmet","fatih-sultan-mehmet","460"
"78","2","1","Adana","adana","Ceyhan","ceyhan","Gazi Osman Paşa","gazi-osman-pa-a","470"
"79","2","1","Adana","adana","Ceyhan","ceyhan","Gümürdülü","g-m-rd-l","480"
"80","2","1","Adana","adana","Ceyhan","ceyhan","Gündoğan","g-ndo-an","490"
"81","2","1","Adana","adana","Ceyhan","ceyhan","Günlüce","g-nl-ce","500"
"82","2","1","Adana","adana","Ceyhan","ceyhan","Hamdilli","hamdilli","510"
"83","2","1","Adana","adana","Ceyhan","ceyhan","Hamidiye","hamidiye","520"
"84","2","1","Adana","adana","Ceyhan","ceyhan","Hamitbey","hamitbey","530"
"85","2","1","Adana","adana","Ceyhan","ceyhan","Hamitbeybucağı","hamitbeybuca","540"
"86","2","1","Adana","adana","Ceyhan","ceyhan","Hürriyet","h-rriyet","550"
"87","2","1","Adana","adana","Ceyhan","ceyhan","Çiçekli","i-ekli","560"
"88","2","1","Adana","adana","Ceyhan","ceyhan","Çiftlikler","iftlikler","570"
"89","2","1","Adana","adana","Ceyhan","ceyhan","Irmaklı","irmakl","580"
"90","2","1","Adana","adana","Ceyhan","ceyhan","Isırganlı","is-rganl","590"
"91","2","1","Adana","adana","Ceyhan","ceyhan","Karakayalı","karakayal","600"
"92","2","1","Adana","adana","Ceyhan","ceyhan","Kelemeti","kelemeti","610"
"93","2","1","Adana","adana","Ceyhan","ceyhan","Küçükburhaniye","k-kburhaniye","620"
"94","2","1","Adana","adana","Ceyhan","ceyhan","Küçükkırım","k-kk-r-m","630"
"95","2","1","Adana","adana","Ceyhan","ceyhan","Küçükmangıt","k-kmang-t","640"
"96","2","1","Adana","adana","Ceyhan","ceyhan","Kılıçkaya","k-l-kaya","650"
"97","2","1","Adana","adana","Ceyhan","ceyhan","Konakoğlu","konako-lu","660"
"98","2","1","Adana","adana","Ceyhan","ceyhan","Koruklu","koruklu","670"
"99","2","1","Adana","adana","Ceyhan","ceyhan","Köprülü","k-pr-l","680"
"100","2","1","Adana","adana","Ceyhan","ceyhan","Körkuyu","k-rkuyu","690"
"101","2","1","Adana","adana","Ceyhan","ceyhan","Kösreli","k-sreli","700"
"102","2","1","Adana","adana","Ceyhan","ceyhan","Kurtkulağı","kurtkula","710"
"103","2","1","Adana","adana","Ceyhan","ceyhan","Kurtpınar","kurtp-nar","720"
"104","2","1","Adana","adana","Ceyhan","ceyhan","Kuzucak","kuzucak","730"
"105","2","1","Adana","adana","Ceyhan","ceyhan","Kıvrıklı","k-vr-kl","740"
"106","2","1","Adana","adana","Ceyhan","ceyhan","Kızıldere","k-z-ldere","750"
"107","2","1","Adana","adana","Ceyhan","ceyhan","Mercimek","mercimek","760"
"108","2","1","Adana","adana","Ceyhan","ceyhan","Mercin","mercin","770"
"109","2","1","Adana","adana","Ceyhan","ceyhan","Mithat Paşa","mithat-pa-a","780"
"110","2","1","Adana","adana","Ceyhan","ceyhan","Modernevler","modernevler","790"
"111","2","1","Adana","adana","Ceyhan","ceyhan","İmran","mran","800"
"112","2","1","Adana","adana","Ceyhan","ceyhan","Muradiye","muradiye","810"
"113","2","1","Adana","adana","Ceyhan","ceyhan","Mustafabeyli","mustafabeyli","820"
"114","2","1","Adana","adana","Ceyhan","ceyhan","Namık Kemal","nam-k-kemal","830"
"115","2","1","Adana","adana","Ceyhan","ceyhan","Narlık","narl-k","840"
"116","2","1","Adana","adana","Ceyhan","ceyhan","Nazımbey Yeniköy","naz-mbey-yenik-y","850"
"117","2","1","Adana","adana","Ceyhan","ceyhan","İnceyer","nceyer","860"
"118","2","1","Adana","adana","Ceyhan","ceyhan","İnönü","n-n","870"
"119","2","1","Adana","adana","Ceyhan","ceyhan","Çokçapınar","ok-ap-nar","880"
"120","2","1","Adana","adana","Ceyhan","ceyhan","Sağkaya","sa-kaya","890"
"121","2","1","Adana","adana","Ceyhan","ceyhan","İsalı","sal","900"
"122","2","1","Adana","adana","Ceyhan","ceyhan","Sarıbahçe","sar-bah-e","910"
"123","2","1","Adana","adana","Ceyhan","ceyhan","Sağırlar","sa-rlar","920"
"124","2","1","Adana","adana","Ceyhan","ceyhan","Sarımazı","sar-maz","930"
"125","2","1","Adana","adana","Ceyhan","ceyhan","Sarısakal","sar-sakal","940"
"126","2","1","Adana","adana","Ceyhan","ceyhan","Selimiye","selimiye","950"
"127","2","1","Adana","adana","Ceyhan","ceyhan","Sirkeli","sirkeli","960"
"128","2","1","Adana","adana","Ceyhan","ceyhan","Soğukpınar","so-ukp-nar","970"
"129","2","1","Adana","adana","Ceyhan","ceyhan","Soysallı","soysall","980"
"130","2","1","Adana","adana","Ceyhan","ceyhan","İstiklal","stiklal","990"
"131","2","1","Adana","adana","Ceyhan","ceyhan","Tatarlı","tatarl","1000"
"132","2","1","Adana","adana","Ceyhan","ceyhan","Tatlıkuyu","tatl-kuyu","1010"
"133","2","1","Adana","adana","Ceyhan","ceyhan","Toktamış","toktam","1020"
"134","2","1","Adana","adana","Ceyhan","ceyhan","Tumlu","tumlu","1030"
"135","2","1","Adana","adana","Ceyhan","ceyhan","Ulus","ulus","1040"
"136","2","1","Adana","adana","Ceyhan","ceyhan","Veysiye","veysiye","1050"
"137","2","1","Adana","adana","Ceyhan","ceyhan","Yalak","yalak","1060"
"138","2","1","Adana","adana","Ceyhan","ceyhan","Yarsuat","yarsuat","1070"
"139","2","1","Adana","adana","Ceyhan","ceyhan","Yeşilbahçe","ye-ilbah-e","1080"
"140","2","1","Adana","adana","Ceyhan","ceyhan","Yeşildam","ye-ildam","1090"
"141","2","1","Adana","adana","Ceyhan","ceyhan","Yellibel","yellibel","1100"
"142","2","1","Adana","adana","Ceyhan","ceyhan","Yılankale","y-lankale","1110"
"143","2","1","Adana","adana","Ceyhan","ceyhan","Zübeyde Hanım","z-beyde-han-m","1120"
"144","3","1","Adana","adana","Feke","feke","Şahmuratlı","ahmuratl","10"
"145","3","1","Adana","adana","Feke","feke","Akkaya","akkaya","20"
"146","3","1","Adana","adana","Feke","feke","Akoluk","akoluk","30"
"147","3","1","Adana","adana","Feke","feke","Çandırlar","and-rlar","40"
"148","3","1","Adana","adana","Feke","feke","Bağdatlı","ba-datl","50"
"149","3","1","Adana","adana","Feke","feke","Bahçecik","bah-ecik","60"
"150","3","1","Adana","adana","Feke","feke","Belenköy","belenk-y","70"
"151","3","1","Adana","adana","Feke","feke","Değirmenciuşağı","de-irmenciu-a","80"
"152","3","1","Adana","adana","Feke","feke","Gaffaruşağı","gaffaru-a","90"
"153","3","1","Adana","adana","Feke","feke","Göbelli","g-belli","100"
"154","3","1","Adana","adana","Feke","feke","Gedikli","gedikli","110"
"155","3","1","Adana","adana","Feke","feke","Gökçeli","g-k-eli","120"
"156","3","1","Adana","adana","Feke","feke","Gürümze","g-r-mze","130"
"157","3","1","Adana","adana","Feke","feke","Güzpınarı","g-zp-nar","140"
"158","3","1","Adana","adana","Feke","feke","Hıdıruşağı","h-d-ru-a","150"
"159","3","1","Adana","adana","Feke","feke","Kaşaltı","ka-alt","160"
"160","3","1","Adana","adana","Feke","feke","Kaleyüzü","kaley-z","170"
"161","3","1","Adana","adana","Feke","feke","Karacaoğlan","karacao-lan","180"
"162","3","1","Adana","adana","Feke","feke","Karacauşağı","karacau-a","190"
"163","3","1","Adana","adana","Feke","feke","Kayadibi","kayadibi","200"
"164","3","1","Adana","adana","Feke","feke","Kazancı","kazanc","210"
"165","3","1","Adana","adana","Feke","feke","Keklikçi","keklik-i","220"
"166","3","1","Adana","adana","Feke","feke","Konakkuran","konakkuran","230"
"167","3","1","Adana","adana","Feke","feke","Kovukçınar","kovuk-nar","240"
"168","3","1","Adana","adana","Feke","feke","Koçyazı","ko-yaz","250"
"169","3","1","Adana","adana","Feke","feke","Kırıkuşağı","k-r-ku-a","260"
"170","3","1","Adana","adana","Feke","feke","Kısacıklı","k-sac-kl","270"
"171","3","1","Adana","adana","Feke","feke","Kızılyer","k-z-lyer","280"
"172","3","1","Adana","adana","Feke","feke","Mansurlu","mansurlu","290"
"173","3","1","Adana","adana","Feke","feke","Musalar","musalar","300"
"174","3","1","Adana","adana","Feke","feke","İncirci","ncirci","310"
"175","3","1","Adana","adana","Feke","feke","Olucak","olucak","320"
"176","3","1","Adana","adana","Feke","feke","Çondu","ondu","330"
"177","3","1","Adana","adana","Feke","feke","Ormancık","ormanc-k","340"
"178","3","1","Adana","adana","Feke","feke","Ortaköy","ortak-y","350"
"179","3","1","Adana","adana","Feke","feke","Oruçlu","oru-lu","360"
"180","3","1","Adana","adana","Feke","feke","Paşalı","pa-al","370"
"181","3","1","Adana","adana","Feke","feke","Çürükler","r-kler","380"
"182","3","1","Adana","adana","Feke","feke","İslam","slam","390"
"183","3","1","Adana","adana","Feke","feke","Sülemişli","s-lemi-li","400"
"184","3","1","Adana","adana","Feke","feke","Süphandere","s-phandere","410"
"185","3","1","Adana","adana","Feke","feke","Tenkerli","tenkerli","420"
"186","3","1","Adana","adana","Feke","feke","Tokmanaklı","tokmanakl","430"
"187","3","1","Adana","adana","Feke","feke","Tortulu","tortulu","440"
"188","3","1","Adana","adana","Feke","feke","Uğurlubağ","u-urluba","450"
"189","3","1","Adana","adana","Feke","feke","Yaylapınar","yaylap-nar","460"
"190","3","1","Adana","adana","Feke","feke","Yeşil Düşmüş","ye-il-d-m","470"
"191","3","1","Adana","adana","Feke","feke","Yerebakan","yerebakan","480"
"192","4","1","Adana","adana","Karaisalı","karaisal","Aşağıbelemedik","a-a-belemedik","10"
"193","4","1","Adana","adana","Karaisalı","karaisal","Aşağıyörükler","a-a-y-r-kler","20"
"194","4","1","Adana","adana","Karaisalı","karaisal","Akçalı","ak-al","30"
"195","4","1","Adana","adana","Karaisalı","karaisal","Çakallı","akall","40"
"196","4","1","Adana","adana","Karaisalı","karaisal","Aktaş","akta","50"
"197","4","1","Adana","adana","Karaisalı","karaisal","Altınova","alt-nova","60"
"198","4","1","Adana","adana","Karaisalı","karaisal","Çatalan","atalan","70"
"199","4","1","Adana","adana","Karaisalı","karaisal","Ayakkıf","ayakk-f","80"
"200","4","1","Adana","adana","Karaisalı","karaisal","Başkıf","ba-k-f","90"
"201","4","1","Adana","adana","Karaisalı","karaisal","Barakdağı","barakda","100"
"202","4","1","Adana","adana","Karaisalı","karaisal","Bekirli","bekirli","110"
"203","4","1","Adana","adana","Karaisalı","karaisal","Beydemir","beydemir","120"
"204","4","1","Adana","adana","Karaisalı","karaisal","Bolacalı","bolacal","130"
"205","4","1","Adana","adana","Karaisalı","karaisal","Bucak","bucak","140"
"206","4","1","Adana","adana","Karaisalı","karaisal","Döşekevi","d-ekevi","150"
"207","4","1","Adana","adana","Karaisalı","karaisal","Demirçit","demir-it","160"
"208","4","1","Adana","adana","Karaisalı","karaisal","Durak","durak","170"
"209","4","1","Adana","adana","Karaisalı","karaisal","Çeceli","eceli","180"
"210","4","1","Adana","adana","Karaisalı","karaisal","Eğlence","e-lence","190"
"211","4","1","Adana","adana","Karaisalı","karaisal","Emelcik","emelcik","200"
"212","4","1","Adana","adana","Karaisalı","karaisal","Etekli","etekli","210"
"213","4","1","Adana","adana","Karaisalı","karaisal","Çevlik","evlik","220"
"214","4","1","Adana","adana","Karaisalı","karaisal","Fettahlı","fettahl","230"
"215","4","1","Adana","adana","Karaisalı","karaisal","Filikli","filikli","240"
"216","4","1","Adana","adana","Karaisalı","karaisal","Gildirli","gildirli","250"
"217","4","1","Adana","adana","Karaisalı","karaisal","Gökhasanlı","g-khasanl","260"
"218","4","1","Adana","adana","Karaisalı","karaisal","Gülüşlü","g-l-l","270"
"219","4","1","Adana","adana","Karaisalı","karaisal","Güvenç","g-ven","280"
"220","4","1","Adana","adana","Karaisalı","karaisal","Hacıkırı","hac-k-r","290"
"221","4","1","Adana","adana","Karaisalı","karaisal","Hacılı","hac-l","300"
"222","4","1","Adana","adana","Karaisalı","karaisal","Hacımusalı","hac-musal","310"
"223","4","1","Adana","adana","Karaisalı","karaisal","Kaledağı","kaleda","320"
"224","4","1","Adana","adana","Karaisalı","karaisal","Kapıkaya","kap-kaya","330"
"225","4","1","Adana","adana","Karaisalı","karaisal","Karahasanlı","karahasanl","340"
"226","4","1","Adana","adana","Karaisalı","karaisal","Karakılıç","karak-l","350"
"227","4","1","Adana","adana","Karaisalı","karaisal","Karakuyu","karakuyu","360"
"228","4","1","Adana","adana","Karaisalı","karaisal","Karapınar","karap-nar","370"
"229","4","1","Adana","adana","Karaisalı","karaisal","Kocaveliler","kocaveliler","380"
"230","4","1","Adana","adana","Karaisalı","karaisal","Kırıklı","k-r-kl","390"
"231","4","1","Adana","adana","Karaisalı","karaisal","Kuşcusofulu","ku-cusofulu","400"
"232","4","1","Adana","adana","Karaisalı","karaisal","Kuyucu","kuyucu","410"
"233","4","1","Adana","adana","Karaisalı","karaisal","Kuzgun","kuzgun","420"
"234","4","1","Adana","adana","Karaisalı","karaisal","Maraşlı","mara-l","430"
"235","4","1","Adana","adana","Karaisalı","karaisal","Merkezboztahta","merkezboztahta","440"
"236","4","1","Adana","adana","Karaisalı","karaisal","Ömerli","merli","450"
"237","4","1","Adana","adana","Karaisalı","karaisal","Murtçukuru","murt-ukuru","460"
"238","4","1","Adana","adana","Karaisalı","karaisal","Nergizlik","nergizlik","470"
"239","4","1","Adana","adana","Karaisalı","karaisal","Nuhlu","nuhlu","480"
"240","4","1","Adana","adana","Karaisalı","karaisal","Çocuklar","ocuklar","490"
"241","4","1","Adana","adana","Karaisalı","karaisal","Çorlu","orlu","500"
"242","4","1","Adana","adana","Karaisalı","karaisal","Sadıkali","sad-kali","510"
"243","4","1","Adana","adana","Karaisalı","karaisal","Sarımehmetli","sar-mehmetli","520"
"244","4","1","Adana","adana","Karaisalı","karaisal","Saypınar","sayp-nar","530"
"245","4","1","Adana","adana","Karaisalı","karaisal","Selampınar","selamp-nar","540"
"246","4","1","Adana","adana","Karaisalı","karaisal","Tatık","tat-k","550"
"247","4","1","Adana","adana","Karaisalı","karaisal","Tümenli","t-menli","560"
"248","4","1","Adana","adana","Karaisalı","karaisal","Topaktaş","topakta","570"
"249","4","1","Adana","adana","Karaisalı","karaisal","Topkaralı","topkaral","580"
"250","4","1","Adana","adana","Karaisalı","karaisal","Torunsolaklı","torunsolakl","590"
"251","4","1","Adana","adana","Karaisalı","karaisal","Çukur","ukur","600"
"252","4","1","Adana","adana","Karaisalı","karaisal","Yazıbaşı","yaz-ba","610"
"253","5","1","Adana","adana","Karataş","karata","Adalı","adal","10"
"254","5","1","Adana","adana","Karataş","karata","Çakırören","ak-r-ren","20"
"255","5","1","Adana","adana","Karataş","karata","Çağşırlı","a-rl","30"
"256","5","1","Adana","adana","Karataş","karata","Ataköy","atak-y","40"
"257","5","1","Adana","adana","Karataş","karata","Çavuşlu","avu-lu","50"
"258","5","1","Adana","adana","Karataş","karata","Bahçe","bah-e","60"
"259","5","1","Adana","adana","Karataş","karata","Bebeli","bebeli","70"
"260","5","1","Adana","adana","Karataş","karata","Damlapınar","damlap-nar","80"
"261","5","1","Adana","adana","Karataş","karata","Develiören","develi-ren","90"
"262","5","1","Adana","adana","Karataş","karata","Dolaplı","dolapl","100"
"263","5","1","Adana","adana","Karataş","karata","Gölkaya","g-lkaya","110"
"264","5","1","Adana","adana","Karataş","karata","Hacıhasan","hac-hasan","120"
"265","5","1","Adana","adana","Karataş","karata","Hasırağacı","has-ra-ac","130"
"266","5","1","Adana","adana","Karataş","karata","Helvacı","helvac","140"
"267","5","1","Adana","adana","Karataş","karata","Çimeli","imeli","150"
"268","5","1","Adana","adana","Karataş","karata","Kapı","kap","160"
"269","5","1","Adana","adana","Karataş","karata","Karagöçer","karag-er","170"
"270","5","1","Adana","adana","Karataş","karata","Karataş","karata","180"
"271","5","1","Adana","adana","Karataş","karata","Karşıyaka","kar-yaka","190"
"272","5","1","Adana","adana","Karataş","karata","Kemaliye","kemaliye","200"
"273","5","1","Adana","adana","Karataş","karata","Kesik","kesik","210"
"274","5","1","Adana","adana","Karataş","karata","Kiremitli","kiremitli","220"
"275","5","1","Adana","adana","Karataş","karata","Kırhasan","k-rhasan","230"
"276","5","1","Adana","adana","Karataş","karata","Kızıltahta","k-z-ltahta","240"
"277","5","1","Adana","adana","Karataş","karata","Meletmez","meletmez","250"
"278","5","1","Adana","adana","Karataş","karata","İnneplihüyüğü","nneplih-y","260"
"279","5","1","Adana","adana","Karataş","karata","Orta","orta","270"
"280","5","1","Adana","adana","Karataş","karata","Oymaklı","oymakl","280"
"281","5","1","Adana","adana","Karataş","karata","İsahacılı","sahac-l","290"
"282","5","1","Adana","adana","Karataş","karata","Sarımsak","sar-msak","300"
"283","5","1","Adana","adana","Karataş","karata","Sirkenli","sirkenli","310"
"284","5","1","Adana","adana","Karataş","karata","Tabaklar","tabaklar","320"
"285","5","1","Adana","adana","Karataş","karata","Tabur","tabur","330"
"286","5","1","Adana","adana","Karataş","karata","Terliksiz","terliksiz","340"
"287","5","1","Adana","adana","Karataş","karata","Topraklı","toprakl","350"
"288","5","1","Adana","adana","Karataş","karata","Tuzkuyusu","tuzkuyusu","360"
"289","5","1","Adana","adana","Karataş","karata","Tuzla","tuzla","370"
"290","5","1","Adana","adana","Karataş","karata","Çukurkamış","ukurkam","380"
"291","5","1","Adana","adana","Karataş","karata","Yassıveren","yass-veren","390"
"292","5","1","Adana","adana","Karataş","karata","Yemişli","yemi-li","400"
"293","5","1","Adana","adana","Karataş","karata","Yeni","yeni","410"
"294","5","1","Adana","adana","Karataş","karata","Yenimurat","yenimurat","420"
"295","5","1","Adana","adana","Karataş","karata","Yüzbaşı","y-zba","430"
"296","6","1","Adana","adana","Kozan","kozan","Acarmantaş","acarmanta","10"
"297","6","1","Adana","adana","Kozan","kozan","Akçalıuşağı","ak-al-u-a","20"
"298","6","1","Adana","adana","Kozan","kozan","Akarca","akarca","30"
"299","6","1","Adana","adana","Kozan","kozan","Akdam","akdam","40"
"300","6","1","Adana","adana","Kozan","kozan","Akkaya","akkaya","50"
"301","6","1","Adana","adana","Kozan","kozan","Alapınar","alap-nar","60"
"302","6","1","Adana","adana","Kozan","kozan","Ağlıboğaz","a-l-bo-az","70"
"303","6","1","Adana","adana","Kozan","kozan","Çamdere","amdere","80"
"304","6","1","Adana","adana","Kozan","kozan","Çamlarca","amlarca","90"
"305","6","1","Adana","adana","Kozan","kozan","Çanaklı","anakl","100"
"306","6","1","Adana","adana","Kozan","kozan","Çandık","and-k","110"
"307","6","1","Adana","adana","Kozan","kozan","Andıl","and-l","120"
"308","6","1","Adana","adana","Kozan","kozan","Arslanlı","arslanl","130"
"309","6","1","Adana","adana","Kozan","kozan","Arslanpaşa","arslanpa-a","140"
"310","6","1","Adana","adana","Kozan","kozan","Aydın","ayd-n","150"
"311","6","1","Adana","adana","Kozan","kozan","Ayşehoca","ay-ehoca","160"
"312","6","1","Adana","adana","Kozan","kozan","Bağlar","ba-lar","170"
"313","6","1","Adana","adana","Kozan","kozan","Bağtepe","ba-tepe","180"
"314","6","1","Adana","adana","Kozan","kozan","Bağözü","ba-z","190"
"315","6","1","Adana","adana","Kozan","kozan","Boztahta","boztahta","200"
"316","6","1","Adana","adana","Kozan","kozan","Bucak","bucak","210"
"317","6","1","Adana","adana","Kozan","kozan","Bulduklu","bulduklu","220"
"318","6","1","Adana","adana","Kozan","kozan","Cumhuriyet","cumhuriyet","230"
"319","6","1","Adana","adana","Kozan","kozan","Damyeri","damyeri","240"
"320","6","1","Adana","adana","Kozan","kozan","İdemköy","demk-y","250"
"321","6","1","Adana","adana","Kozan","kozan","Dikilitaş","dikilita","260"
"322","6","1","Adana","adana","Kozan","kozan","Dilekkaya","dilekkaya","270"
"323","6","1","Adana","adana","Kozan","kozan","Doğanalanı","do-analan","280"
"324","6","1","Adana","adana","Kozan","kozan","Duraluşağı","duralu-a","290"
"325","6","1","Adana","adana","Kozan","kozan","Durmuşlu","durmu-lu","300"
"326","6","1","Adana","adana","Kozan","kozan","Düzağaç","d-za-a","310"
"327","6","1","Adana","adana","Kozan","kozan","Çelenuşağı","elenu-a","320"
"328","6","1","Adana","adana","Kozan","kozan","Enizçakırı","eniz-ak-r","330"
"329","6","1","Adana","adana","Kozan","kozan","Ergenuşağı","ergenu-a","340"
"330","6","1","Adana","adana","Kozan","kozan","Şerifli","erifli","350"
"331","6","1","Adana","adana","Kozan","kozan","Eskikabasakal","eskikabasakal","360"
"332","6","1","Adana","adana","Kozan","kozan","Eskimantaş","eskimanta","370"
"333","6","1","Adana","adana","Kozan","kozan","Şevkiye","evkiye","380"
"334","6","1","Adana","adana","Kozan","kozan","Faydalı","faydal","390"
"335","6","1","Adana","adana","Kozan","kozan","Ferhatlı","ferhatl","400"
"336","6","1","Adana","adana","Kozan","kozan","Gazi","gazi","410"
"337","6","1","Adana","adana","Kozan","kozan","Gedikli","gedikli","420"
"338","6","1","Adana","adana","Kozan","kozan","Gökçeyol","g-k-eyol","430"
"339","6","1","Adana","adana","Kozan","kozan","Gökgöz","g-kg-z","440"
"340","6","1","Adana","adana","Kozan","kozan","Güneri","g-neri","450"
"341","6","1","Adana","adana","Kozan","kozan","Görbeyaz","g-rbeyaz","460"
"342","6","1","Adana","adana","Kozan","kozan","Hacıbeyli","hac-beyli","470"
